"pkg" "Exp" "N" "X" "type" "PropSigM" "NbPaths" "NbSigPaths" "AvgRSq" "PropCond" "PropSigPaths" "Data"
"pcsem" 25 80 7 "random" 0.94 1400 65 8.09542343477166e-05 0.0517896825396825 0.0464285714285714 "Random"
"pcsem" 26 90 7 "random" 0.95 1400 56 -0.000494403669346499 0.0381031746031746 0.04 "Random"
"pcsem" 27 100 7 "random" 0.94 1400 59 -0.000627539832277335 0.0537936507936508 0.0421428571428571 "Random"
"pcsem" 28 20 8 "random" 0.93 1900 81 -0.00235396985716126 0.0512581307581308 0.0426315789473684 "Random"
"pcsem" 29 30 8 "random" 0.96 1900 85 -0.00149243496139058 0.0424110889110889 0.0447368421052632 "Random"
"pcsem" 30 40 8 "random" 0.93 1900 98 -0.00172115407301671 0.0577282717282717 0.0515789473684211 "Random"
"pcsem" 31 50 8 "random" 0.96 1900 95 0.00015670869284913 0.0547585747585748 0.05 "Random"
"pcsem" 32 60 8 "random" 0.97 1900 96 0.000647862952909409 0.0487529692529692 0.0505263157894737 "Random"
"pcsem" 33 70 8 "random" 0.94 1900 105 0.00082569512854262 0.0540314685314685 0.0552631578947368 "Random"
"pcsem" 34 80 8 "random" 0.96 1900 83 0.000822075634312434 0.0395003885003885 0.0436842105263158 "Random"
"pcsem" 35 90 8 "random" 0.96 1900 113 0.00213524133562411 0.0376749361749362 0.0594736842105263 "Random"
"pcsem" 36 100 8 "random" 0.98 1900 95 -0.000687498495964514 0.0480371295371295 0.05 "Random"
"pcsem" 37 20 9 "random" 0.96 2400 134 0.00373476594906585 0.0478210124928391 0.0558333333333333 "Random"
"pcsem" 38 30 9 "random" 0.98 2400 113 -0.00293773105251465 0.0513651072439772 0.0470833333333333 "Random"
"pcsem" 39 40 9 "random" 0.98 2400 136 0.00137847349346761 0.0551733221628732 0.0566666666666667 "Random"
"pcsem" 40 50 9 "random" 0.95 2400 134 0.00202073767144656 0.053490239851308 0.0558333333333333 "Random"
"pcsem" 41 60 9 "random" 0.94 2400 122 0.0013600159291157 0.0482536540257128 0.0508333333333333 "Random"
"pcsem" 42 70 9 "random" 0.96 2400 120 -0.00126592861797876 0.0519729447109478 0.05 "Random"
"pcsem" 43 80 9 "random" 0.97 2400 130 0.00062359582358034 0.0351756502871054 0.0541666666666667 "Random"
"pcsem" 44 90 9 "random" 0.93 2400 123 0.000320005924928575 0.0663897432117246 0.05125 "Random"
"pcsem" 45 100 9 "random" 0.95 2400 131 0.000746591788545025 0.043097555823949 0.0545833333333333 "Random"
"pcsem" 46 20 10 "random" 0.94 3000 175 0.0120949031364434 0.0537359831524423 0.0583333333333333 "Random"
"pcsem" 47 30 10 "random" 0.98 3000 130 -0.00331671241953137 0.0398591276396836 0.0433333333333333 "Random"
"pcsem" 48 40 10 "random" 0.95 3000 157 0.000380930032210028 0.0590623523974902 0.0523333333333333 "Random"
"pcsem" 49 50 10 "random" 0.99 3000 157 -0.000347048141713016 0.0400881516645213 0.0523333333333333 "Random"
"pcsem" 50 60 10 "random" 0.95 3000 132 -0.00179284434822106 0.0598935374596836 0.044 "Random"
"pcsem" 51 70 10 "random" 0.94 3000 137 -0.00109182865472616 0.0568403431756171 0.0456666666666667 "Random"
"pcsem" 52 80 10 "random" 0.98 3000 129 -0.00127620859526297 0.0544986488735984 0.043 "Random"
"pcsem" 53 90 10 "random" 0.88 3000 159 0.00129978208541576 0.0500147247672386 0.053 "Random"
"pcsem" 54 100 10 "random" 0.94 3000 150 0.000632124109314797 0.0506899103753177 0.05 "Random"
"lavaan" 55 20 5 "exact" 0.88 700 498 0.801710984156621 0.0658333333333333 0.711428571428571 "Exact"
"lavaan" 56 30 5 "exact" 0.92 700 527 0.813015287668701 0.0583333333333333 0.752857142857143 "Exact"
"lavaan" 57 40 5 "exact" 0.89 700 504 0.821115003692867 0.0508333333333333 0.72 "Exact"
"lavaan" 58 50 5 "exact" 0.91 700 537 0.803452753807889 0.055 0.767142857142857 "Exact"
"lavaan" 59 60 5 "exact" 0.83 700 520 0.812278682199867 0.0716666666666667 0.742857142857143 "Exact"
"lavaan" 60 70 5 "exact" 0.91 700 559 0.802489592495429 0.0333333333333333 0.798571428571429 "Exact"
"lavaan" 61 80 5 "exact" 0.89 700 555 0.815360275527417 0.0675 0.792857142857143 "Exact"
"lavaan" 62 90 5 "exact" 0.95 700 559 0.811072799908734 0.0291666666666667 0.798571428571429 "Exact"
"lavaan" 63 100 5 "exact" 0.85 700 562 0.802001180337203 0.0341666666666667 0.802857142857143 "Exact"
"lavaan" 64 20 6 "exact" 0.83 1000 655 0.827414861503216 0.054 0.655 "Exact"
"lavaan" 65 30 6 "exact" 0.88 1000 695 0.827520052985326 0.0487619047619048 0.695 "Exact"
"lavaan" 66 40 6 "exact" 0.88 1000 685 0.840085963014165 0.0526666666666667 0.685 "Exact"
"lavaan" 67 50 6 "exact" 0.91 1000 708 0.834512021868683 0.0445833333333333 0.708 "Exact"
"lavaan" 68 60 6 "exact" 0.94 1000 738 0.843678359186325 0.0339523809523809 0.738 "Exact"
