"pkg" "type" "Exp" "N" "X" "Sd_eff" "Sd_res" "PropSigM" "NbPaths" "NbSigPaths" "AvgRSq" "PropCond" "PropSigPaths"
"lavaan" "simple" 90 60 5 1 0.5 0.2 700 530 0.776231061781121 0.523333333333333 0.757142857142857
"lavaan" "simple" 95 80 5 1 0.5 0.12 700 549 0.798928697643644 0.595 0.784285714285714
"lavaan" "simple" 100 100 5 1 0.5 0.16 700 568 0.802180808469525 0.630833333333333 0.811428571428571
"lavaan" "simple" 105 20 7 1 0.5 0.1 1400 904 0.817294096858222 0.364774531024531 0.645714285714286
"lavaan" "simple" 110 40 7 1 0.5 0.08 1400 1019 0.822965403465445 0.479926046176046 0.727857142857143
"lavaan" "simple" 115 60 7 1 0.5 0.05 1400 1054 0.833177699531516 0.504015151515152 0.752857142857143
"lavaan" "simple" 120 80 7 1 0.5 0.09 1400 1031 0.84723969167463 0.483045815295815 0.736428571428571
"lavaan" "simple" 125 100 7 1 0.5 0.05 1400 1044 0.843004420695391 0.525675324675325 0.745714285714286
"lavaan" "simple" 130 20 10 1 0.5 0.02 3000 1823 0.880427476713212 0.303779131665361 0.607666666666667
"lavaan" "simple" 135 40 10 1 0.5 0.01 3000 1986 0.862779401855979 0.417613930188954 0.662
"lavaan" "simple" 140 60 10 1 0.5 0 3000 1995 0.87497418633418 0.433264453493068 0.665
"lavaan" "simple" 145 80 10 1 0.5 0 3000 2141 0.870222836711552 0.46162675745987 0.713666666666667
"lavaan" "simple" 150 100 10 1 0.5 0 3000 2118 0.877342316614073 0.491987589040086 0.706
"lavaan" "simple" 214 20 5 2.5 0.5 0.23 700 512 0.95127252854532 0.4475 0.731428571428571
"lavaan" "simple" 218 40 5 2.5 0.5 0.16 700 539 0.941055391438692 0.555 0.77
"lavaan" "simple" 222 60 5 2.5 0.5 0.2 700 555 0.937322810942159 0.533333333333333 0.792857142857143
"lavaan" "simple" 226 80 5 2.5 0.5 0.21 700 581 0.954964780822255 0.529166666666667 0.83
"lavaan" "simple" 230 100 5 2.5 0.5 0.12 700 559 0.937846319429777 0.6 0.798571428571429
"lavaan" "simple" 234 20 7 2.5 0.5 0.13 1400 1003 0.94912048562527 0.388936868686869 0.716428571428571
"lavaan" "simple" 238 40 7 2.5 0.5 0.08 1400 976 0.945072290741148 0.484588383838384 0.697142857142857
"lavaan" "simple" 242 60 7 2.5 0.5 0.03 1400 993 0.956034493717011 0.528436868686869 0.709285714285714
"lavaan" "simple" 246 80 7 2.5 0.5 0.08 1400 1034 0.931653700880064 0.518507936507936 0.738571428571429
"lavaan" "simple" 250 100 7 2.5 0.5 0.04 1400 1117 0.938860320935805 0.550959235209235 0.797857142857143
"lavaan" "simple" 254 20 10 2.5 0.5 0.02 3000 1811 0.946254521596124 0.352933423804998 0.603666666666667
"lavaan" "simple" 258 40 10 2.5 0.5 0.01 3000 1789 0.946859286998387 0.399522307629105 0.596333333333333
"lavaan" "simple" 262 60 10 2.5 0.5 0.01 3000 2014 0.955769129131167 0.426390481219647 0.671333333333333
"lavaan" "simple" 266 80 10 2.5 0.5 0 3000 1937 0.953928590716212 0.473067808660806 0.645666666666667
"lavaan" "simple" 270 100 10 2.5 0.5 0 3000 2061 0.956750766475662 0.480230185792841 0.687
"lavaan" "simple" 334 20 5 5 0.5 0.26 700 518 0.980889206119094 0.4425 0.74
"lavaan" "simple" 338 40 5 5 0.5 0.3 700 536 0.983651941473887 0.448333333333333 0.765714285714286
"lavaan" "simple" 342 60 5 5 0.5 0.18 700 554 0.985170801597185 0.576666666666667 0.791428571428571
"lavaan" "simple" 346 80 5 5 0.5 0.14 700 557 0.96709198992174 0.59 0.795714285714286
"lavaan" "simple" 350 100 5 5 0.5 0.12 700 551 0.970738543472123 0.651666666666667 0.787142857142857
"lavaan" "simple" 354 20 7 5 0.5 0.06 1400 963 0.980465389429983 0.416816378066378 0.687857142857143
"lavaan" "simple" 358 40 7 5 0.5 0.04 1400 1033 0.976288165846068 0.485300505050505 0.737857142857143
"lavaan" "simple" 362 60 7 5 0.5 0.05 1400 1051 0.977629977094319 0.533452741702742 0.750714285714286
"lavaan" "simple" 366 80 7 5 0.5 0.05 1400 1048 0.981398736701366 0.521125901875902 0.748571428571429
"lavaan" "simple" 370 100 7 5 0.5 0.01 1400 1097 0.979941958580255 0.569609668109668 0.783571428571429
"lavaan" "simple" 374 20 10 5 0.5 0.01 3000 1703 0.978928190802546 0.333044690525819 0.567666666666667
"lavaan" "simple" 378 40 10 5 0.5 0.01 3000 1842 0.984155387610905 0.41054779202715 0.614
"lavaan" "simple" 382 60 10 5 0.5 0 3000 1888 0.981572689233089 0.435959030096848 0.629333333333333
"lavaan" "simple" 386 80 10 5 0.5 0.01 3000 1959 0.985425458413227 0.49824428835885 0.653
"lavaan" "simple" 390 100 10 5 0.5 0.01 3000 2111 0.984673417856887 0.506673544562406 0.703666666666667
"lavaan" "simple" 470 20 5 1 1 0.28 700 475 0.616953662343422 0.4175 0.678571428571429
"lavaan" "simple" 475 40 5 1 1 0.29 700 476 0.638538315219395 0.445 0.68
"lavaan" "simple" 480 60 5 1 1 0.18 700 521 0.645445592824391 0.51 0.744285714285714
"lavaan" "simple" 485 80 5 1 1 0.18 700 552 0.703175068036289 0.5675 0.788571428571429
"lavaan" "simple" 490 100 5 1 1 0.15 700 553 0.646133831489835 0.571666666666667 0.79
"lavaan" "simple" 495 20 7 1 1 0.1 1400 848 0.673561466381512 0.33926911976912 0.605714285714286
"lavaan" "simple" 500 40 7 1 1 0.09 1400 954 0.686116955136321 0.416505772005772 0.681428571428571
"lavaan" "simple" 505 60 7 1 1 0.06 1400 986 0.718619210403271 0.428313492063492 0.704285714285714
"lavaan" "simple" 510 80 7 1 1 0.04 1400 1046 0.696133656354866 0.506093434343434 0.747142857142857
"lavaan" "simple" 515 100 7 1 1 0.02 1400 1004 0.72144507005558 0.527422799422799 0.717142857142857
"lavaan" "simple" 520 20 10 1 1 0.03 3000 1630 0.792789015622954 0.265112306580862 0.543333333333333
"lavaan" "simple" 525 40 10 1 1 0.01 3000 1840 0.76197165855247 0.384427953732527 0.613333333333333
"lavaan" "simple" 530 60 10 1 1 0.01 3000 1950 0.778530633809462 0.400055534915795 0.65
"lavaan" "simple" 535 80 10 1 1 0.01 3000 2069 0.789625796705495 0.417151507380088 0.689666666666667
"lavaan" "simple" 540 100 10 1 1 0 3000 2058 0.772501948017428 0.444934372470258 0.686
"lavaan" "simple" 604 20 5 2.5 1 0.25 700 499 0.799339526220621 0.436666666666667 0.712857142857143
"lavaan" "simple" 608 40 5 2.5 1 0.15 700 528 0.821333679189931 0.550833333333333 0.754285714285714
"lavaan" "simple" 612 60 5 2.5 1 0.18 700 544 0.811215169625775 0.535833333333333 0.777142857142857
"lavaan" "simple" 616 80 5 2.5 1 0.19 700 567 0.8440126103596 0.615 0.81
"lavaan" "simple" 620 100 5 2.5 1 0.13 700 576 0.827333939517732 0.6325 0.822857142857143
"lavaan" "simple" 624 20 7 2.5 1 0.11 1400 976 0.863406136297944 0.379221861471861 0.697142857142857
"lavaan" "simple" 628 40 7 2.5 1 0.03 1400 997 0.847828187940246 0.4758556998557 0.712142857142857
"lavaan" "simple" 632 60 7 2.5 1 0.06 1400 1035 0.859027864845028 0.476782106782107 0.739285714285714
"lavaan" "simple" 636 80 7 2.5 1 0.01 1400 1079 0.860746945351139 0.523588023088023 0.770714285714286
"lavaan" "simple" 640 100 7 2.5 1 0.05 1400 1045 0.853597401449175 0.559497835497835 0.746428571428571
"lavaan" "simple" 644 20 10 2.5 1 0.01 3000 1808 0.887059095375197 0.331516887286547 0.602666666666667
"lavaan" "simple" 648 40 10 2.5 1 0.02 3000 1952 0.886388309305061 0.395611863673884 0.650666666666667
"lavaan" "simple" 652 60 10 2.5 1 0.01 3000 2073 0.898524133214373 0.421832426461069 0.691
"lavaan" "simple" 656 80 10 2.5 1 0.01 3000 1936 0.888842175265928 0.465587970672632 0.645333333333333
"lavaan" "simple" 660 100 10 2.5 1 0.01 3000 2164 0.895911479261421 0.485688010257791 0.721333333333333
"lavaan" "simple" 724 20 5 5 1 0.29 700 535 0.954553659863361 0.444166666666667 0.764285714285714
"lavaan" "simple" 728 40 5 5 1 0.26 700 522 0.950045215514449 0.508333333333333 0.745714285714286
"lavaan" "simple" 732 60 5 5 1 0.15 700 571 0.928081731930472 0.585 0.815714285714286
"lavaan" "simple" 736 80 5 5 1 0.16 700 573 0.954680087774575 0.585 0.818571428571429
